text,label,clean_text
Bugün toplantı erken başladı,0,bugün toplantı erken başladı
Lanet olsun yine elektirikler kesildi,0,lanet olsun yine elektirikler kesildi
Türkiyede de ekonomi çok iyi,1,türkiyede de ekonomi çok iyi
Bana çok yardımcı oldun süpersin,0,bana çok yardımcı oldun süpersin
Öğrenciler okulu taradı,0,öğrenciler okulu taradı
Sabah erken uyandım,0,sabah erken uyandım
Bir polis karakolu soyuldu,1,bir polis karakolu soyuldu
Altyapı çok iyi yine elektirikler gitti,1,altyapı çok iyi yine elektirikler gitti
Çok enerjiğim 7 saat uyudum,0,çok enerjiğim 7 saat uyudum
Süper yine erken kalkıyoruz,1,süper yine erken kalkıyoruz
Aynen kesin şimdi her şey düzeldi,1,aynen kesin şimdi her şey düzeldi
Son dakika attığı muazzam golle takımını kazandırdı,0,son dakika attığı muazzam golle takımını kazandırdı
Adam hastaneden hastalık kaptı,0,adam hastaneden hastalık kaptı
Müdür o kadar profesyonel ki tüm işleriyle ilgilenecek birini bulup işlerini hallediyor,1,müdür o kadar profesyonel ki tüm işleriyle ilgilenecek birini bulup işlerini hallediyor
Altyapı harika yine elektirikler gitti,1,altyapı harika yine elektirikler gitti
Çok enerjiğim 3 saat uyudum,1,çok enerjiğim 3 saat uyudum
Harika yine elektiriklere gitti,1,harika yine elektiriklere gitti
Çok iyi oldu telefonumun şarjı yine yüzde 1,1,çok iyi oldu telefonumun şarjı yine yüzde 1
Bayılıyorum sabah alarmını kaçırmaya,1,bayılıyorum sabah alarmını kaçırmaya
Gece 3 saat uyuyabildim çok yorgunum,0,gece 3 saat uyuyabildim çok yorgunum
Çok iyi yine elektiriklere gitti,1,çok iyi yine elektiriklere gitti
Bugün hava oldukça güzel,0,bugün hava oldukça güzel
Kedi miyavlıyor,0,kedi miyavlıyor
Fırtına çıktığı için elektirikler kesildi,0,fırtına çıktığı için elektirikler kesildi
Proje sunumuna ilk beni aldılar,0,proje sunumuna ilk beni aldılar
Muhteşem ya sınav haftasında hasta oldum,1,muhteşem ya sınav haftasında hasta oldum
Bebek ağlıyor,0,bebek ağlıyor
Haftalardır yağmur yağıyor bu yüzden barajlar doldu,0,haftalardır yağmur yağıyor bu yüzden barajlar doldu
Film düşündüğümden daha iyiydi,0,film düşündüğümden daha iyiydi
Bebek o kadar konuştu ki başım ağrıdı,1,bebek o kadar konuştu ki başım ağrıdı
Sanırım artık alıştım buna,1,sanırım artık alıştım buna
Kahve içip ders çalışacağım,0,kahve içip ders çalışacağım
Hava o kadar iyi ki saatlerdir yağmur yağıyor,1,hava o kadar iyi ki saatlerdir yağmur yağıyor
Altyapı muazzam yine elektirikler gitti,1,altyapı muazzam yine elektirikler gitti
Altyapı süper yine elektirikler gitti,1,altyapı süper yine elektirikler gitti
Gerçekten çok yardımcı oldun teşekkürler,1,gerçekten çok yardımcı oldun teşekkürler
Yeni bulduğum yemek tarifi çok iyi sonuç verdi,0,yeni bulduğum yemek tarifi çok iyi sonuç verdi
İtafye binası yanıp kül oldu,1,itafye binası yanıp kül oldu
Seven adam hiç çiçek alır mı?,1,seven adam hiç çiçek alır mı
Süper yine elektiriklere gitti,1,süper yine elektiriklere gitti
Altyapı muhteşem yine elektirikler gitti,1,altyapı muhteşem yine elektirikler gitti
O sınavdan o kadar yüksek puan alman muhteşem,0,o sınavdan o kadar yüksek puan alman muhteşem
Muazzam yine elektiriklere gitti,1,muazzam yine elektiriklere gitti
Bugün işler sakin geçti,0,bugün işler sakin geçti
Baya yüksek puan aldım tüm derslerim FF,1,baya yüksek puan aldım tüm derslerim ff
Mükemmel gerçekten bir saat trafikte kaldım,1,mükemmel gerçekten bir saat trafikte kaldım
100 üzerinden 15 puan aldım yeterli,1,100 üzerinden 15 puan aldım yeterli
Tebrikler yine tüm işleri bana bıraktınız,1,tebrikler yine tüm işleri bana bıraktınız
Off yine elektirikler kesildi,0,off yine elektirikler kesildi
Barajlar ağzına kadar dolu bu yüzden bir haftadır sular kesik,1,barajlar ağzına kadar dolu bu yüzden bir haftadır sular kesik
70 yaşında kadın doğum yaptı,1,70 yaşında kadın doğum yaptı
Muhteşem yine elektiriklere gitti,1,muhteşem yine elektiriklere gitti
Harika CV'm dönüş aldı,0,harika cvm dönüş aldı
Saatlerdir projeyle ilgileniyorum çok yoruldum,0,saatlerdir projeyle ilgileniyorum çok yoruldum
